# @legend string   1 "Partition=  2 Excit=  1 near/far= 1" | #legend string   0 "Lab energy =   32.0000" | @s1 linestyle   2 | #  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
col0,col1
0.0,0.01079
0.5,0.01078
1.0,0.01076
1.5,0.01073
2.0,0.01068
2.5,0.01061
3.0,0.01054
3.5,0.01045
4.0,0.01035
4.5,0.01023
5.0,0.0101
5.5,0.009961
6.0,0.009808
6.5,0.009643
7.0,0.009468
7.5,0.009283
8.0,0.009089
8.5,0.008887
9.0,0.008679
9.5,0.008466
10.0,0.008249
10.5,0.008031
11.0,0.007811
11.5,0.007593
12.0,0.007378
12.5,0.007167
13.0,0.006963
13.5,0.006766
14.0,0.006579
14.5,0.006403
15.0,0.006239
15.5,0.006088
16.0,0.005952
16.5,0.005831
17.0,0.005726
17.5,0.005636
18.0,0.005564
18.5,0.005507
19.0,0.005466
19.5,0.00544
20.0,0.005429
20.5,0.005431
21.0,0.005446
21.5,0.005471
22.0,0.005506
22.5,0.005549
23.0,0.005598
23.5,0.005652
24.0,0.005708
24.5,0.005764
25.0,0.00582
25.5,0.005873
26.0,0.005922
26.5,0.005965
27.0,0.006001
27.5,0.006028
28.0,0.006045
28.5,0.006052
29.0,0.006047
29.5,0.00603
30.0,0.006001
30.5,0.005959
31.0,0.005905
31.5,0.005837
32.0,0.005758
32.5,0.005666
33.0,0.005563
33.5,0.00545
34.0,0.005326
34.5,0.005194
35.0,0.005054
35.5,0.004906
36.0,0.004753
36.5,0.004595
37.0,0.004434
37.5,0.00427
38.0,0.004104
38.5,0.003938
39.0,0.003772
39.5,0.003607
40.0,0.003445
40.5,0.003286
41.0,0.00313
41.5,0.002979
42.0,0.002832
42.5,0.002691
43.0,0.002556
43.5,0.002426
44.0,0.002303
44.5,0.002187
45.0,0.002077
45.5,0.001973
46.0,0.001876
46.5,0.001786
47.0,0.001702
47.5,0.001624
48.0,0.001553
48.5,0.001487
49.0,0.001427
49.5,0.001373
50.0,0.001324
50.5,0.00128
51.0,0.00124
51.5,0.001206
52.0,0.001175
52.5,0.001149
53.0,0.001126
53.5,0.001107
54.0,0.001092
54.5,0.001079
55.0,0.00107
55.5,0.001063
56.0,0.001059
56.5,0.001058
57.0,0.001059
57.5,0.001062
58.0,0.001066
58.5,0.001073
59.0,0.001082
59.5,0.001091
60.0,0.001103
