section,angle,xsec
@s0,66.0,1.003
@s0,71.0,1.002
@s0,76.0,1.001
@s0,81.0,1.0
@s0,86.0,0.9979
@s0,91.0,0.9945
@s0,96.0,0.9899
@s0,101.0,0.9843
@s0,106.0,0.9781
@s0,111.0,0.9715
@s0,116.0,0.9649
@s0,121.0,0.9582
@s0,126.0,0.9517
@s0,131.0,0.9453
@s0,136.0,0.9391
@s0,141.0,0.9333
@s0,146.0,0.9279
@s1,66.0,0.0003315
@s1,71.0,0.000508
@s1,76.0,0.0007425
@s1,81.0,0.001036
@s1,86.0,0.001381
@s1,91.0,0.001767
@s1,96.0,0.002178
@s1,101.0,0.002599
@s1,106.0,0.003015
@s1,111.0,0.003414
@s1,116.0,0.003788
@s1,121.0,0.004133
@s1,126.0,0.004444
@s1,131.0,0.004718
@s1,136.0,0.004952
@s1,141.0,0.005149
@s1,146.0,0.005316
