section,angle,xsec
@s0,0.01,1.0
@s0,0.1,0.9999
@s0,0.2,0.9999
@s0,0.3,1.0
@s0,0.4,1.001
@s0,0.5,1.002
@s0,0.6,1.003
@s0,0.7,1.004
@s0,0.8,1.006
@s0,0.9,1.007
@s0,1.0,1.008
@s0,1.1,1.009
@s0,1.2,1.009
@s0,1.3,1.01
@s0,1.4,1.01
@s0,1.5,1.01
@s0,1.6,1.009
@s0,1.7,1.008
@s0,1.8,1.007
@s0,1.9,1.005
@s0,2.0,1.003
@s0,2.1,1.001
@s0,2.2,0.9979
@s0,2.3,0.9947
@s0,2.4,0.9912
@s0,2.5,0.9873
@s0,2.6,0.9831
@s0,2.7,0.9786
@s0,2.8,0.9737
@s0,2.9,0.9685
@s0,3.0,0.963
@s0,3.1,0.9572
@s0,3.2,0.9512
@s0,3.3,0.9448
@s0,3.4,0.9383
@s0,3.5,0.9315
@s0,3.6,0.9245
@s0,3.7,0.9173
@s0,3.8,0.9099
@s0,3.9,0.9024
@s0,4.0,0.8947
@s0,4.1,0.8868
@s0,4.2,0.8789
@s0,4.3,0.8708
@s0,4.4,0.8626
@s0,4.5,0.8543
@s0,4.6,0.846
@s0,4.7,0.8376
@s0,4.8,0.8292
@s0,4.9,0.8208
@s0,5.0,0.8123
@s0,5.1,0.8038
@s0,5.2,0.7954
@s0,5.3,0.787
@s0,5.4,0.7786
@s0,5.5,0.7703
@s0,5.6,0.762
@s0,5.7,0.7538
@s0,5.8,0.7457
@s0,5.9,0.7377
@s0,6.0,0.7298
@s0,6.1,0.722
@s0,6.2,0.7143
@s0,6.3,0.7068
@s0,6.4,0.6994
@s0,6.5,0.6921
@s0,6.6,0.6851
@s0,6.7,0.6782
@s0,6.8,0.6714
@s0,6.9,0.6649
@s0,7.0,0.6585
@s0,7.1,0.6524
@s0,7.2,0.6464
@s0,7.3,0.6407
@s0,7.4,0.6352
@s0,7.5,0.6299
@s0,7.6,0.6248
@s0,7.7,0.62
@s0,7.8,0.6154
@s0,7.9,0.611
@s0,8.0,0.6069
@s0,8.1,0.603
@s0,8.2,0.5994
@s0,8.3,0.5961
@s0,8.4,0.593
