section,angle,xsec
@s0,0.01,1.0
@s0,0.1,1.0
@s0,0.2,1.0
@s0,0.3,0.9999
@s0,0.4,0.9998
@s0,0.5,0.9999
@s0,0.6,1.0
@s0,0.7,1.001
@s0,0.8,1.001
@s0,0.9,1.001
@s0,1.0,1.002
@s0,1.1,1.002
@s0,1.2,1.001
@s0,1.3,1.001
@s0,1.4,1.0
@s0,1.5,0.9991
@s0,1.6,0.998
@s0,1.7,0.9969
@s0,1.8,0.9957
@s0,1.9,0.9945
@s0,2.0,0.9934
@s0,2.1,0.9923
@s0,2.2,0.9914
@s0,2.3,0.9907
@s0,2.4,0.9901
@s0,2.5,0.9897
@s0,2.6,0.9896
@s0,2.7,0.9896
@s0,2.8,0.99
@s0,2.9,0.9905
@s0,3.0,0.9913
@s0,3.1,0.9923
@s0,3.2,0.9935
@s0,3.3,0.995
@s0,3.4,0.9967
@s0,3.5,0.9985
@s0,3.6,1.001
@s0,3.7,1.003
@s0,3.8,1.005
@s0,3.9,1.008
@s0,4.0,1.01
@s0,4.1,1.013
@s0,4.2,1.016
@s0,4.3,1.018
@s0,4.4,1.021
@s0,4.5,1.024
@s0,4.6,1.027
@s0,4.7,1.03
@s0,4.8,1.033
@s0,4.9,1.036
@s0,5.0,1.038
@s0,5.1,1.041
@s0,5.2,1.044
@s0,5.3,1.046
@s0,5.4,1.048
@s0,5.5,1.051
@s0,5.6,1.053
@s0,5.7,1.055
@s0,5.8,1.057
@s0,5.9,1.058
@s0,6.0,1.06
@s0,6.1,1.061
@s0,6.2,1.062
@s0,6.3,1.063
@s0,6.4,1.064
@s0,6.5,1.065
@s0,6.6,1.065
@s0,6.7,1.065
@s0,6.8,1.065
@s0,6.9,1.065
@s0,7.0,1.065
@s0,7.1,1.064
@s0,7.2,1.063
@s0,7.3,1.062
@s0,7.4,1.061
@s0,7.5,1.06
@s0,7.6,1.058
@s0,7.7,1.056
@s0,7.8,1.055
@s0,7.9,1.052
@s0,8.0,1.05
@s0,8.1,1.048
@s0,8.2,1.045
@s0,8.3,1.042
@s0,8.4,1.039
@s0,8.5,1.036
@s0,8.6,1.033
@s0,8.7,1.03
@s0,8.8,1.026
@s0,8.9,1.023
@s0,9.0,1.019
@s0,9.1,1.015
@s0,9.2,1.011
@s0,9.3,1.007
@s0,9.4,1.003
@s0,9.5,0.999
@s0,9.6,0.9948
@s0,9.7,0.9904
@s0,9.8,0.986
@s0,9.9,0.9815
@s0,10.0,0.977
@s0,10.1,0.9724
@s0,10.2,0.9678
@s0,10.3,0.9631
@s0,10.4,0.9584
@s0,10.5,0.9537
@s0,10.6,0.949
@s0,10.7,0.9442
@s0,10.8,0.9394
@s0,10.9,0.9347
@s0,11.0,0.9299
@s0,11.1,0.9252
@s0,11.2,0.9205
@s0,11.3,0.9157
@s0,11.4,0.911
@s0,11.5,0.9064
@s0,11.6,0.9017
@s0,11.7,0.8971
@s0,11.8,0.8926
@s0,11.9,0.8881
@s0,12.0,0.8836
@s0,12.1,0.8792
@s0,12.2,0.8749
@s0,12.3,0.8706
@s0,12.4,0.8663
@s0,12.5,0.8621
@s0,12.6,0.858
@s0,12.7,0.854
@s0,12.8,0.85
@s0,12.9,0.8462
@s0,13.0,0.8423
@s0,13.1,0.8386
@s0,13.2,0.835
@s0,13.3,0.8314
@s0,13.4,0.8279
@s0,13.5,0.8245
@s0,13.6,0.8212
@s0,13.7,0.818
@s0,13.8,0.8148
@s0,13.9,0.8118
@s0,14.0,0.8088
@s0,14.1,0.806
@s0,14.2,0.8032
@s0,14.3,0.8005
@s0,14.4,0.7979
@s0,14.5,0.7954
@s0,14.6,0.793
@s0,14.7,0.7906
@s0,14.8,0.7884
@s0,14.9,0.7862
@s0,15.0,0.7842
@s0,15.1,0.7822
@s0,15.2,0.7803
@s0,15.3,0.7785
@s0,15.4,0.7768
@s0,15.5,0.7752
@s0,15.6,0.7736
@s0,15.7,0.7722
@s0,15.8,0.7708
@s0,15.9,0.7695
@s0,16.0,0.7682
@s0,16.1,0.7671
@s0,16.2,0.766
@s0,16.3,0.765
@s0,16.4,0.764
@s0,16.5,0.7631
@s0,16.6,0.7623
@s0,16.7,0.7616
@s0,16.8,0.7609
@s0,16.9,0.7603
@s0,17.0,0.7597
@s0,17.1,0.7592
@s0,17.2,0.7587
@s0,17.3,0.7583
@s0,17.4,0.7579
@s0,17.5,0.7576
@s0,17.6,0.7573
@s0,17.7,0.7571
@s0,17.8,0.7569
@s0,17.9,0.7568
@s0,18.0,0.7567
@s0,18.1,0.7566
@s0,18.2,0.7565
@s0,18.3,0.7565
@s0,18.4,0.7565
@s0,18.5,0.7565
@s0,18.6,0.7565
@s0,18.7,0.7566
@s0,18.8,0.7567
@s0,18.9,0.7568
@s0,19.0,0.7569
@s0,19.1,0.757
@s0,19.2,0.7571
@s0,19.3,0.7572
@s0,19.4,0.7573
@s0,19.5,0.7574
@s0,19.6,0.7576
@s0,19.7,0.7577
@s0,19.8,0.7578
@s0,19.9,0.7579
@s0,20.0,0.758
@s0,20.1,0.7581
@s0,20.2,0.7581
@s0,20.3,0.7582
@s0,20.4,0.7582
@s0,20.5,0.7582
@s0,20.6,0.7582
@s0,20.7,0.7582
@s0,20.8,0.7581
@s0,20.9,0.758
@s0,21.0,0.7579
@s0,21.1,0.7578
@s0,21.2,0.7576
@s0,21.3,0.7574
@s0,21.4,0.7571
@s0,21.5,0.7569
@s0,21.6,0.7565
@s0,21.7,0.7562
@s0,21.8,0.7558
@s0,21.9,0.7553
@s0,22.0,0.7549
@s0,22.1,0.7543
@s0,22.2,0.7538
@s0,22.3,0.7532
@s0,22.4,0.7525
@s0,22.5,0.7518
@s0,22.6,0.7511
@s0,22.7,0.7503
