section,angle,xsec
@s0,1.0,1.001
@s0,2.0,0.9932
@s0,3.0,0.9967
@s0,4.0,1.018
@s0,5.0,1.04
@s0,6.0,1.05
@s0,7.0,1.042
@s0,8.0,1.017
@s0,9.0,0.9816
@s0,10.0,0.9411
@s0,11.0,0.9016
@s0,12.0,0.8671
@s0,13.0,0.8398
@s0,14.0,0.8202
@s0,15.0,0.8072
@s0,16.0,0.7989
@s0,17.0,0.793
@s0,18.0,0.7871
@s0,19.0,0.7791
@s0,20.0,0.7671
@s0,21.0,0.7502
@s0,22.0,0.7279
@s0,23.0,0.7004
@s0,24.0,0.6684
@s0,25.0,0.6332
@s0,26.0,0.5961
@s0,27.0,0.5588
@s0,28.0,0.5229
@s0,29.0,0.49
@s0,30.0,0.4613
@s0,31.0,0.4378
@s0,32.0,0.4202
@s0,33.0,0.4086
@s0,34.0,0.403
@s0,35.0,0.4029
@s0,36.0,0.4076
@s0,37.0,0.416
@s0,38.0,0.4271
@s0,39.0,0.4395
@s0,40.0,0.452
@s0,41.0,0.4635
@s0,42.0,0.4728
@s0,43.0,0.4793
@s0,44.0,0.4821
@s0,45.0,0.481
@s0,46.0,0.4757
@s0,47.0,0.4663
@s0,48.0,0.4531
@s0,49.0,0.4367
@s0,50.0,0.4176
@s0,51.0,0.3966
@s0,52.0,0.3745
@s0,53.0,0.3521
@s0,54.0,0.3303
@s0,55.0,0.3096
@s0,56.0,0.2908
@s0,57.0,0.2743
@s0,58.0,0.2605
@s0,59.0,0.2496
@s0,60.0,0.2416
@s0,61.0,0.2366
@s0,62.0,0.2343
@s0,63.0,0.2344
@s0,64.0,0.2366
@s0,65.0,0.2404
@s0,66.0,0.2453
@s0,67.0,0.251
@s0,68.0,0.2569
@s0,69.0,0.2627
@s0,70.0,0.2679
@s0,71.0,0.2724
@s0,72.0,0.2758
@s0,73.0,0.2781
@s0,74.0,0.2791
@s0,75.0,0.2788
@s0,76.0,0.2774
@s0,77.0,0.2747
@s0,78.0,0.2711
@s0,79.0,0.2666
@s0,80.0,0.2615
@s0,81.0,0.2559
@s0,82.0,0.25
@s0,83.0,0.2439
@s0,84.0,0.2379
@s0,85.0,0.232
@s0,86.0,0.2263
@s0,87.0,0.2209
@s0,88.0,0.2158
@s0,89.0,0.2111
@s0,90.0,0.2067
@s0,91.0,0.2025
@s0,92.0,0.1987
@s0,93.0,0.1951
@s0,94.0,0.1916
@s0,95.0,0.1882
@s0,96.0,0.1848
@s0,97.0,0.1815
@s0,98.0,0.1781
@s0,99.0,0.1748
@s0,100.0,0.1713
@s0,101.0,0.1678
@s0,102.0,0.1644
@s0,103.0,0.1609
@s0,104.0,0.1575
@s0,105.0,0.1542
@s0,106.0,0.151
@s0,107.0,0.148
@s0,108.0,0.1453
@s0,109.0,0.1429
@s0,110.0,0.1409
@s0,111.0,0.1392
@s0,112.0,0.1379
@s0,113.0,0.137
@s0,114.0,0.1365
@s0,115.0,0.1364
@s0,116.0,0.1366
@s0,117.0,0.1371
@s0,118.0,0.1379
@s0,119.0,0.1389
@s0,120.0,0.14
@s0,121.0,0.1412
@s0,122.0,0.1424
@s0,123.0,0.1436
@s0,124.0,0.1446
@s0,125.0,0.1454
@s0,126.0,0.146
@s0,127.0,0.1463
@s0,128.0,0.1462
@s0,129.0,0.1458
@s0,130.0,0.145
@s0,131.0,0.1438
@s0,132.0,0.1422
@s0,133.0,0.1403
@s0,134.0,0.138
@s0,135.0,0.1353
@s0,136.0,0.1324
@s0,137.0,0.1292
@s0,138.0,0.1259
@s0,139.0,0.1224
@s0,140.0,0.1188
@s0,141.0,0.1153
@s0,142.0,0.1117
@s0,143.0,0.1083
@s0,144.0,0.105
@s0,145.0,0.1019
@s0,146.0,0.09901
@s0,147.0,0.09644
@s0,148.0,0.09418
@s0,149.0,0.09228
@s0,150.0,0.09074
@s0,151.0,0.08959
@s0,152.0,0.08884
@s0,153.0,0.08849
@s0,154.0,0.08856
@s0,155.0,0.08902
@s0,156.0,0.08987
@s0,157.0,0.0911
@s0,158.0,0.09269
@s0,159.0,0.09461
@s0,160.0,0.09684
@s0,161.0,0.09935
@s0,162.0,0.1021
@s0,163.0,0.1051
@s0,164.0,0.1082
@s0,165.0,0.1115
@s0,166.0,0.1148
@s0,167.0,0.1182
@s0,168.0,0.1216
@s0,169.0,0.1249
@s0,170.0,0.1281
@s0,171.0,0.1312
@s0,172.0,0.1341
@s0,173.0,0.1367
@s0,174.0,0.1391
@s0,175.0,0.1412
@s0,176.0,0.143
@s0,177.0,0.1444
@s0,178.0,0.1454
@s0,179.0,0.146
@s0,180.0,0.1462
@s1,1.0,5.298
@s1,2.0,5.686
@s1,3.0,6.307
@s1,4.0,7.125
@s1,5.0,8.095
@s1,6.0,9.159
@s1,7.0,10.26
@s1,8.0,11.34
@s1,9.0,12.33
@s1,10.0,13.18
@s1,11.0,13.86
@s1,12.0,14.32
@s1,13.0,14.54
@s1,14.0,14.52
@s1,15.0,14.26
@s1,16.0,13.77
@s1,17.0,13.08
@s1,18.0,12.22
@s1,19.0,11.24
@s1,20.0,10.16
@s1,21.0,9.033
@s1,22.0,7.902
@s1,23.0,6.802
@s1,24.0,5.766
@s1,25.0,4.82
@s1,26.0,3.985
@s1,27.0,3.273
@s1,28.0,2.691
@s1,29.0,2.239
@s1,30.0,1.913
@s1,31.0,1.702
@s1,32.0,1.593
@s1,33.0,1.57
@s1,34.0,1.617
@s1,35.0,1.716
@s1,36.0,1.849
@s1,37.0,2.001
@s1,38.0,2.156
@s1,39.0,2.302
@s1,40.0,2.429
@s1,41.0,2.53
@s1,42.0,2.599
@s1,43.0,2.633
@s1,44.0,2.631
@s1,45.0,2.596
@s1,46.0,2.528
@s1,47.0,2.433
@s1,48.0,2.315
@s1,49.0,2.178
@s1,50.0,2.03
@s1,51.0,1.874
@s1,52.0,1.715
@s1,53.0,1.559
@s1,54.0,1.409
@s1,55.0,1.268
@s1,56.0,1.138
@s1,57.0,1.021
@s1,58.0,0.918
@s1,59.0,0.829
@s1,60.0,0.7537
@s1,61.0,0.6912
@s1,62.0,0.6404
@s1,63.0,0.5998
@s1,64.0,0.568
@s1,65.0,0.5433
@s1,66.0,0.5241
@s1,67.0,0.509
@s1,68.0,0.4968
@s1,69.0,0.4864
@s1,70.0,0.4768
@s1,71.0,0.4673
@s1,72.0,0.4576
@s1,73.0,0.4474
@s1,74.0,0.4365
@s1,75.0,0.425
@s1,76.0,0.413
@s1,77.0,0.4007
@s1,78.0,0.3884
@s1,79.0,0.3763
@s1,80.0,0.3647
@s1,81.0,0.3539
@s1,82.0,0.3439
@s1,83.0,0.3351
@s1,84.0,0.3274
@s1,85.0,0.321
@s1,86.0,0.3158
@s1,87.0,0.3118
@s1,88.0,0.3089
@s1,89.0,0.307
@s1,90.0,0.3059
@s1,91.0,0.3055
@s1,92.0,0.3055
@s1,93.0,0.3058
@s1,94.0,0.3062
@s1,95.0,0.3064
@s1,96.0,0.3064
@s1,97.0,0.3058
@s1,98.0,0.3047
@s1,99.0,0.3027
@s1,100.0,0.2998
@s1,101.0,0.296
@s1,102.0,0.2911
@s1,103.0,0.285
@s1,104.0,0.2779
@s1,105.0,0.2697
@s1,106.0,0.2605
@s1,107.0,0.2504
@s1,108.0,0.2395
@s1,109.0,0.2279
@s1,110.0,0.2158
@s1,111.0,0.2034
@s1,112.0,0.191
@s1,113.0,0.1786
@s1,114.0,0.1664
@s1,115.0,0.1548
@s1,116.0,0.1437
@s1,117.0,0.1334
@s1,118.0,0.124
@s1,119.0,0.1155
@s1,120.0,0.1081
@s1,121.0,0.1017
@s1,122.0,0.09637
@s1,123.0,0.09209
@s1,124.0,0.08883
@s1,125.0,0.08654
@s1,126.0,0.08514
@s1,127.0,0.08456
@s1,128.0,0.08473
@s1,129.0,0.08554
@s1,130.0,0.08693
@s1,131.0,0.08881
@s1,132.0,0.09109
@s1,133.0,0.0937
@s1,134.0,0.09658
@s1,135.0,0.09964
@s1,136.0,0.1028
@s1,137.0,0.1061
@s1,138.0,0.1094
@s1,139.0,0.1126
@s1,140.0,0.1158
@s1,141.0,0.1187
@s1,142.0,0.1215
@s1,143.0,0.1241
@s1,144.0,0.1264
@s1,145.0,0.1283
@s1,146.0,0.1299
@s1,147.0,0.1312
@s1,148.0,0.1321
@s1,149.0,0.1326
@s1,150.0,0.1327
@s1,151.0,0.1325
@s1,152.0,0.1319
@s1,153.0,0.131
@s1,154.0,0.1298
@s1,155.0,0.1284
@s1,156.0,0.1267
@s1,157.0,0.1247
@s1,158.0,0.1226
@s1,159.0,0.1202
@s1,160.0,0.1177
@s1,161.0,0.115
@s1,162.0,0.1122
@s1,163.0,0.1092
@s1,164.0,0.1061
@s1,165.0,0.1029
@s1,166.0,0.0996
@s1,167.0,0.09624
@s1,168.0,0.09284
@s1,169.0,0.08944
@s1,170.0,0.08608
@s1,171.0,0.0828
@s1,172.0,0.07965
@s1,173.0,0.07668
@s1,174.0,0.07395
@s1,175.0,0.07153
@s1,176.0,0.06945
@s1,177.0,0.06778
@s1,178.0,0.06656
@s1,179.0,0.06581
@s1,180.0,0.06555
