section,angle,xsec
@s0,0.01,1.0
@s0,0.1,1.0
@s0,0.2,0.9998
@s0,0.3,0.9996
@s0,0.4,0.9995
@s0,0.5,0.9996
@s0,0.6,1.0
@s0,0.7,1.001
@s0,0.8,1.001
@s0,0.9,1.002
@s0,1.0,1.004
@s0,1.1,1.005
@s0,1.2,1.006
@s0,1.3,1.008
@s0,1.4,1.009
@s0,1.5,1.01
@s0,1.6,1.012
@s0,1.7,1.013
@s0,1.8,1.014
@s0,1.9,1.015
@s0,2.0,1.015
@s0,2.1,1.016
@s0,2.2,1.016
@s0,2.3,1.016
@s0,2.4,1.016
@s0,2.5,1.016
@s0,2.6,1.015
@s0,2.7,1.014
@s0,2.8,1.013
@s0,2.9,1.012
@s0,3.0,1.01
@s0,3.1,1.009
@s0,3.2,1.007
@s0,3.3,1.004
@s0,3.4,1.002
@s0,3.5,0.9992
@s0,3.6,0.9962
@s0,3.7,0.9931
@s0,3.8,0.9897
@s0,3.9,0.9861
@s0,4.0,0.9823
@s0,4.1,0.9783
@s0,4.2,0.9741
@s0,4.3,0.9698
@s0,4.4,0.9653
@s0,4.5,0.9606
@s0,4.6,0.9557
@s0,4.7,0.9508
@s0,4.8,0.9456
@s0,4.9,0.9404
@s0,5.0,0.935
@s0,5.1,0.9295
@s0,5.2,0.9239
@s0,5.3,0.9183
@s0,5.4,0.9125
@s0,5.5,0.9066
@s0,5.6,0.9007
@s0,5.7,0.8947
@s0,5.8,0.8887
@s0,5.9,0.8826
@s0,6.0,0.8765
@s0,6.1,0.8703
@s0,6.2,0.8641
@s0,6.3,0.8579
@s0,6.4,0.8517
@s0,6.5,0.8455
@s0,6.6,0.8393
@s0,6.7,0.8331
@s0,6.8,0.827
@s0,6.9,0.8208
@s0,7.0,0.8147
@s0,7.1,0.8087
@s0,7.2,0.8027
@s0,7.3,0.7967
@s0,7.4,0.7908
@s0,7.5,0.7849
@s0,7.6,0.7792
@s0,7.7,0.7735
@s0,7.8,0.7678
@s0,7.9,0.7623
@s0,8.0,0.7568
@s0,8.1,0.7515
@s0,8.2,0.7462
@s0,8.3,0.7411
@s0,8.4,0.736
@s0,8.5,0.7311
@s0,8.6,0.7262
@s0,8.7,0.7215
@s0,8.8,0.7169
@s0,8.9,0.7124
@s0,9.0,0.7081
@s0,9.1,0.7039
@s0,9.2,0.6998
@s0,9.3,0.6958
@s0,9.4,0.692
@s0,9.5,0.6883
@s0,9.6,0.6848
@s0,9.7,0.6814
@s0,9.8,0.6781
@s0,9.9,0.675
@s0,10.0,0.672
@s0,10.1,0.6692
@s0,10.2,0.6665
@s0,10.3,0.664
@s0,10.4,0.6616
@s0,10.5,0.6594
@s0,10.6,0.6573
@s0,10.7,0.6553
@s0,10.8,0.6535
@s0,10.9,0.6519
@s0,11.0,0.6504
@s0,11.1,0.6491
@s0,11.2,0.6478
@s0,11.3,0.6468
@s0,11.4,0.6459
@s0,11.5,0.6451
@s0,11.6,0.6445
@s0,11.7,0.644
@s0,11.8,0.6437
@s0,11.9,0.6435
@s0,12.0,0.6434
@s0,12.1,0.6435
@s0,12.2,0.6437
@s0,12.3,0.644
@s0,12.4,0.6445
@s0,12.5,0.6451
@s0,12.6,0.6459
@s0,12.7,0.6467
@s0,12.8,0.6477
@s0,12.9,0.6488
@s0,13.0,0.65
@s0,13.1,0.6513
@s0,13.2,0.6528
@s0,13.3,0.6543
@s0,13.4,0.656
@s0,13.5,0.6577
@s0,13.6,0.6596
@s0,13.7,0.6615
@s0,13.8,0.6636
@s0,13.9,0.6657
@s0,14.0,0.668
@s0,14.1,0.6703
@s0,14.2,0.6727
@s0,14.3,0.6752
@s0,14.4,0.6778
@s0,14.5,0.6804
@s0,14.6,0.6831
@s0,14.7,0.6859
@s0,14.8,0.6887
@s0,14.9,0.6916
@s0,15.0,0.6945
@s0,15.1,0.6975
@s0,15.2,0.7006
@s0,15.3,0.7037
@s0,15.4,0.7068
@s0,15.5,0.71
@s0,15.6,0.7132
@s0,15.7,0.7164
@s0,15.8,0.7197
@s0,15.9,0.723
@s0,16.0,0.7263
@s0,16.1,0.7296
@s0,16.2,0.7329
@s0,16.3,0.7363
@s0,16.4,0.7397
@s0,16.5,0.743
@s0,16.6,0.7464
@s0,16.7,0.7497
@s0,16.8,0.7531
@s0,16.9,0.7564
@s0,17.0,0.7597
@s0,17.1,0.7631
@s0,17.2,0.7663
@s0,17.3,0.7696
@s0,17.4,0.7728
@s0,17.5,0.776
@s0,17.6,0.7792
@s0,17.7,0.7823
@s0,17.8,0.7854
@s0,17.9,0.7885
@s0,18.0,0.7915
@s0,18.1,0.7944
@s0,18.2,0.7973
@s0,18.3,0.8002
@s0,18.4,0.803
@s0,18.5,0.8057
@s0,18.6,0.8084
@s0,18.7,0.811
@s0,18.8,0.8135
@s0,18.9,0.8159
@s0,19.0,0.8183
@s0,19.1,0.8206
@s0,19.2,0.8229
@s0,19.3,0.825
@s0,19.4,0.8271
@s0,19.5,0.829
@s0,19.6,0.8309
@s0,19.7,0.8327
@s0,19.8,0.8344
@s0,19.9,0.8361
@s0,20.0,0.8376
@s0,20.1,0.839
@s0,20.2,0.8403
@s0,20.3,0.8416
@s0,20.4,0.8427
@s0,20.5,0.8437
@s0,20.6,0.8446
@s0,20.7,0.8454
@s0,20.8,0.8461
@s0,20.9,0.8467
@s0,21.0,0.8472
@s0,21.1,0.8475
@s0,21.2,0.8478
@s0,21.3,0.8479
@s0,21.4,0.848
@s0,21.5,0.8479
@s0,21.6,0.8477
@s0,21.7,0.8474
@s0,21.8,0.8469
@s0,21.9,0.8464
@s0,22.0,0.8457
@s0,22.1,0.845
@s0,22.2,0.844
@s0,22.3,0.843
@s0,22.4,0.8419
