section,angle,xsec
@s0,1.0,1.008
@s0,2.0,0.9971
@s0,3.0,0.949
@s0,4.0,0.8753
@s0,5.0,0.793
@s0,6.0,0.7171
@s0,7.0,0.6588
@s0,8.0,0.6249
@s0,9.0,0.6182
@s0,10.0,0.6376
@s0,11.0,0.6794
@s0,12.0,0.737
@s0,13.0,0.8029
@s0,14.0,0.8686
@s0,15.0,0.9258
@s0,16.0,0.9672
@s0,17.0,0.9872
@s0,18.0,0.9821
@s0,19.0,0.9503
@s0,20.0,0.893
@s0,21.0,0.8135
@s0,22.0,0.7169
@s0,23.0,0.6101
@s0,24.0,0.5009
@s0,25.0,0.3971
@s0,26.0,0.3067
@s0,27.0,0.2362
@s0,28.0,0.191
@s0,29.0,0.1745
@s0,30.0,0.1881
@s0,31.0,0.231
@s0,32.0,0.3003
@s0,33.0,0.3913
@s0,34.0,0.4979
@s0,35.0,0.6129
@s0,36.0,0.7287
@s0,37.0,0.8377
@s0,38.0,0.9329
@s0,39.0,1.008
@s0,40.0,1.059
@s0,41.0,1.083
@s0,42.0,1.078
@s0,43.0,1.045
@s0,44.0,0.9853
@s0,45.0,0.9037
@s0,46.0,0.8045
@s0,47.0,0.6932
@s0,48.0,0.576
@s0,49.0,0.4589
@s0,50.0,0.3477
@s0,51.0,0.2475
@s0,52.0,0.1627
@s0,53.0,0.09643
@s0,54.0,0.05067
@s0,55.0,0.02621
@s0,56.0,0.02264
@s0,57.0,0.03846
@s0,58.0,0.07124
@s0,59.0,0.1178
@s0,60.0,0.1746
@s0,61.0,0.2376
@s0,62.0,0.303
@s0,63.0,0.3669
@s0,64.0,0.4259
@s0,65.0,0.4773
@s0,66.0,0.5187
@s0,67.0,0.5485
@s0,68.0,0.5661
@s0,69.0,0.5711
@s0,70.0,0.5642
@s0,71.0,0.5462
@s0,72.0,0.5188
@s0,73.0,0.4837
@s0,74.0,0.443
@s0,75.0,0.3987
@s0,76.0,0.3529
@s0,77.0,0.3076
@s0,78.0,0.2644
@s0,79.0,0.2246
@s0,80.0,0.1895
@s0,81.0,0.1598
@s0,82.0,0.1357
@s0,83.0,0.1174
@s0,84.0,0.1046
@s0,85.0,0.09681
@s0,86.0,0.09336
@s0,87.0,0.0934
@s0,88.0,0.09605
@s0,89.0,0.1004
@s0,90.0,0.1055
@s0,91.0,0.1107
@s0,92.0,0.1151
@s0,93.0,0.1184
@s0,94.0,0.12
@s0,95.0,0.1198
@s0,96.0,0.1178
@s0,97.0,0.1139
@s0,98.0,0.1085
@s0,99.0,0.1019
@s0,100.0,0.09449
@s1,1.0,188.9
@s1,2.0,183.1
@s1,3.0,173.8
@s1,4.0,161.5
@s1,5.0,146.7
@s1,6.0,130.1
@s1,7.0,112.6
@s1,8.0,94.73
@s1,9.0,77.32
@s1,10.0,60.98
@s1,11.0,46.21
@s1,12.0,33.38
@s1,13.0,22.75
@s1,14.0,14.42
@s1,15.0,8.337
@s1,16.0,4.377
@s1,17.0,2.306
@s1,18.0,1.831
@s1,19.0,2.621
@s1,20.0,4.333
@s1,21.0,6.634
@s1,22.0,9.216
@s1,23.0,11.82
@s1,24.0,14.21
@s1,25.0,16.25
@s1,26.0,17.8
@s1,27.0,18.82
@s1,28.0,19.28
@s1,29.0,19.22
@s1,30.0,18.67
@s1,31.0,17.7
@s1,32.0,16.41
@s1,33.0,14.89
@s1,34.0,13.22
@s1,35.0,11.49
@s1,36.0,9.768
@s1,37.0,8.126
@s1,38.0,6.61
@s1,39.0,5.258
@s1,40.0,4.092
@s1,41.0,3.123
@s1,42.0,2.35
@s1,43.0,1.765
@s1,44.0,1.351
@s1,45.0,1.089
@s1,46.0,0.9539
@s1,47.0,0.9205
@s1,48.0,0.9635
@s1,49.0,1.059
@s1,50.0,1.186
@s1,51.0,1.324
@s1,52.0,1.459
@s1,53.0,1.578
@s1,54.0,1.672
@s1,55.0,1.735
@s1,56.0,1.765
@s1,57.0,1.761
@s1,58.0,1.724
@s1,59.0,1.66
@s1,60.0,1.57
@s1,61.0,1.462
@s1,62.0,1.341
@s1,63.0,1.211
@s1,64.0,1.08
@s1,65.0,0.9504
@s1,66.0,0.8277
@s1,67.0,0.7151
@s1,68.0,0.6151
@s1,69.0,0.5297
@s1,70.0,0.4598
@s1,71.0,0.4056
@s1,72.0,0.3668
@s1,73.0,0.3424
@s1,74.0,0.3311
@s1,75.0,0.331
@s1,76.0,0.3403
@s1,77.0,0.3569
@s1,78.0,0.3787
@s1,79.0,0.4036
@s1,80.0,0.4298
@s1,81.0,0.4556
@s1,82.0,0.4794
@s1,83.0,0.5
@s1,84.0,0.5165
@s1,85.0,0.5282
@s1,86.0,0.5344
@s1,87.0,0.5352
@s1,88.0,0.5304
@s1,89.0,0.5202
@s1,90.0,0.505
@s1,91.0,0.4853
@s1,92.0,0.4617
@s1,93.0,0.4348
@s1,94.0,0.4053
@s1,95.0,0.3738
@s1,96.0,0.3412
@s1,97.0,0.3081
@s1,98.0,0.275
@s1,99.0,0.2425
@s1,100.0,0.2112
